OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude,Geocoding Status,Geocoding Query
1487,ROADRUNNER MARKET #6019,"I-81, EXIT 36 NORTH",Greeneville,TN,405,3.499,36.1631981,-82.8310464,success,"ROADRUNNER MARKET #6019, Greeneville, TN, USA"
1492,MAPCO #3538,"I-24, EXIT 174",Chattanooga,TN,285,2.899,35.123461,-85.2402338,success,"MAPCO #3538, Chattanooga, TN, USA"
1507,CIRCLE K #4703941,"I-55, EXIT 5A",Memphis,TN,435,3.189,35.0498161,-89.8442527,success,"CIRCLE K #4703941, Memphis, TN, USA"
1516,LOVES TRAVEL STOP #261,I-27 EXIT 116,Amarillo,TX,585,3.23233333,35.1914821,-101.7618084,success,"LOVES TRAVEL STOP #261, Amarillo, TX, USA"
1531,CircleK #4702365,"I-74, EXIT 112 & SR-9",Shelbyville,IN,375,3.509,39.5214373,-85.7769238,success,"CircleK #4702365, Shelbyville, IN, USA"
1533,YESWAY #1157,US-62,Brownfield,TX,700,2.99233333,33.1811661,-102.274237,success,"YESWAY #1157, Brownfield, TX, USA"
1546,SHELL,"I-35, EXIT 86 & SR-85",Dilley,TX,740,3.099,28.6674843,-99.1844567,success,"SHELL, Dilley, TX, USA"
1548,TOOT N TOTUM #107,US-287,Dumas,TX,585,3.03233333,35.8726946,-101.9735771,success,"TOOT N TOTUM #107, Dumas, TX, USA"
1552,STRIPES #40911,US-59 & SR-16,Freer,TX,625,3.099,27.8831584,-98.6183635,success,"STRIPES #40911, Freer, TX, USA"
1555,SEIBERT TRAVEL PLAZA,"I-70, EXIT 405 & SR-59",Seibert,CO,800,3.499,39.30099,-102.8696143,success,"SEIBERT TRAVEL PLAZA, Seibert, CO, USA"
1560,CATTREZ,US-20 & SR-5,Irving,NY,38,2.899,42.5675589,-79.1128169,success,"CATTREZ, Irving, NY, USA"
1562,I MART #108,"I-40, EXIT 108",Wildersville,TN,435,3.099,35.7814893,-88.3602512,success,"I MART #108, Wildersville, TN, USA"
1567,KUM & GO #4110,"I-235, EXIT 11",Des Moines,IA,320,3.02733333,41.5332386,-93.5973309,success,"KUM & GO #4110, Des Moines, IA, USA"
1579,FLYING J TRAVEL PLAZA #924- TOWN PUMP,"I-15, EXIT 122 & I-90 MM220",Butte,MT,816,3.56566666,46.008321,-112.608766,success,"FLYING J TRAVEL PLAZA #924- TOWN PUMP, Butte, MT, USA"
1582,LOVES TRAVEL STOP #250,I-40 EXIT 60,Amarillo,TX,585,3.314,35.1914821,-101.7618084,success,"LOVES TRAVEL STOP #250, Amarillo, TX, USA"
1585,Stripes 7Fleet #42498,US-385 & CR-1910,Andrews,TX,710,3.369,32.3187158,-102.545715,success,"Stripes 7Fleet #42498, Andrews, TX, USA"
1590,ROAD RANGER #240,"I-80 & I-94, EXIT 15-A",Lake Station,IN,365,3.559,41.5784387,-87.2394649,success,"ROAD RANGER #240, Lake Station, IN, USA"
1596,FLYING J #305,"I-40, EXIT 39",Jamestown,NM,580,3.44233333,32.339999,-108.675928,success,"FLYING J #305, Jamestown, NM, USA"
1597,7-ELEVEN #36156,"I-70 & SR-519, EXIT 25/333",Eighty Four,PA,165,4.999,40.1827171,-80.1331455,success,"7-ELEVEN #36156, Eighty Four, PA, USA"
1599,ONVO TRAVEL PLAZA,"I-81, EXIT 10",Mc Graw,NY,220,3.439,42.5878634,-76.1302114,success,"ONVO TRAVEL PLAZA, Mc Graw, NY, USA"
1602,CIRCLE K #2723387,US-98,Beaumont,MS,620,3.56566666,31.1693496,-88.9200444,success,"CIRCLE K #2723387, Beaumont, MS, USA"
1606,DONNAS TRAVEL PLAZA,"I-5, EXIT 202",Marysville,WA,962,4.559,48.0517429,-122.1768209,success,"DONNAS TRAVEL PLAZA, Marysville, WA, USA"
1610,TA BALTIMORE TRAVEL CENTER,"I-95, EXIT 57",Baltimore,MD,22,4.759,39.2908816,-76.610759,success,"TA BALTIMORE TRAVEL CENTER, Baltimore, MD, USA"
1618,GO MART FOOD STORE #33,US-33,Ripley,WV,44,3.499,38.8189684,-81.711885,success,"GO MART FOOD STORE #33, Ripley, WV, USA"
1621,CIRCLE K #2709337,"I-65, EXIT 262B",Birmingham,AL,615,3.489,33.4343382,-86.843585,success,"CIRCLE K #2709337, Birmingham, AL, USA"
1622,RACEWAY #6973,US-380 & SR-114/SR-101,Bridgeport,TX,630,2.78233333,33.2240265,-97.7685455,success,"RACEWAY #6973, Bridgeport, TX, USA"
1623,SAPP BROS TRAVEL CENTER,"I-70 & I-270, EXIT 278",Commerce City,CO,800,3.389,39.7839656,-104.9046091,success,"SAPP BROS TRAVEL CENTER, Commerce City, CO, USA"
1625,PILOT TRAVEL CENTERS #60,"I-26, EXIT 159",Bowman,SC,42,3.43233333,33.3487699,-80.6828713,success,"PILOT TRAVEL CENTERS #60, Bowman, SC, USA"
1632,PILOT TRAVEL CENTERS #266,"I-10, EXIT 139 & SR-292",Las Cruces,NM,640,3.19066666,32.3140354,-106.779807,success,"PILOT TRAVEL CENTERS #266, Las Cruces, NM, USA"
1633,7-ELEVEN #36302,"I-35, EXIT 144",Von Ormy,TX,740,3.109,29.3095857,-98.6152191,success,"7-ELEVEN #36302, Von Ormy, TX, USA"
1634,PILOT TRAVEL CENTERS #40,"I-94, EXIT 322",Oak Creek,WI,444,3.889,42.8714846,-87.9444165,success,"PILOT TRAVEL CENTERS #40, Oak Creek, WI, USA"
1644,ALLSUPS CONVENIENCE STORE #2414,"I-20, EXIT 235",Roscoe,TX,575,2.929,32.441615,-100.539297,success,"ALLSUPS CONVENIENCE STORE #2414, Roscoe, TX, USA"
1646,SPEEDWAY #8310,US-6  & US-31,Plymouth,IN,465,3.609,41.3606375,-86.3126406,success,"SPEEDWAY #8310, Plymouth, IN, USA"
1647,SPEEDWAY #8305,US-41 & SR-312,Hammond,IN,290,3.76566666,41.5788338,-87.5086749,success,"SPEEDWAY #8305, Hammond, IN, USA"
1653,ROAD RANGER #187,"I-55, EXIT 289",Chicago,IL,520,3.569,41.8307465,-87.6944213,success,"ROAD RANGER #187, Chicago, IL, USA"
1654,CEFCO #3,US-77/US190/SR-36,Cameron,TX,670,2.989,30.8478132,-96.9679121,success,"CEFCO #3, Cameron, TX, USA"
1661,CHEVRON,"I-20, EXIT 101 & SR-151",Calhoun,LA,590,3.159,32.5204318,-92.3641681,success,"CHEVRON, Calhoun, LA, USA"
